,fullname,team,birthdate,country,height,weight,rider_url
591,Javier Chacon,noteam,1985-07-29,Spain,0.0,0.0,javier-quesada-chacon
592,Francisco Clavijo,noteam,1992-01-25,Spain,0.0,0.0,francisco-clavijo
593,Pablo Lechuga,noteam,1990-08-16,Spain,0.0,0.0,pablo-lechuga-rodriguez
594,Juan José Lobato,Nippo Vini Fantini Faizanè,1988-12-30,Spain,1.73,64.0,juan-jose-lobato
595,Román Osuna,noteam,1989-09-15,Spain,0.0,0.0,roman-osuna-montes
596,Adrián Palomares,noteam,1976-02-18,Spain,0.0,0.0,adrian-palomares
597,Javier Ramírez Abeja,noteam,1978-03-14,Spain,0.0,0.0,javier-ramirez
598,Jose  Luis Roldan,noteam,1985-11-13,Spain,0.0,0.0,jose-luis-roldan
599,Jesús Rosendo,noteam,1982-03-16,Spain,0.0,0.0,jesus-rosendo
600,Jesús Alberto Rubio,Guerciotti - Kiwi Atlántico,1992-01-25,Spain,0.0,0.0,jesus-albert-rubio
601,Eloy Ruiz Pinto,noteam,1989-01-07,Spain,0.0,0.0,eloy-ruiz-pinto
602,Jordi Simón,noteam,1990-09-06,Spain,1.77,64.0,jordi-simon
603,José Vicente Toribio,Matrix Powertag,1985-12-22,Spain,1.75,64.0,jose-vicente-toribio
604,Andrés Vigil Vidal,noteam,1988-09-26,Spain,0.0,0.0,andres-vigil-vidal
605,Omar Bertazzo,noteam,1989-01-07,Italy,0.0,0.0,omar-bertazzo
606,Alessandro Bertolini,noteam,1971-07-27,Italy,0.0,0.0,alessandro-bertolini
607,Riccardo Chiarini,noteam,1984-02-20,Italy,1.84,70.0,riccardo-chiarini
608,Alessandro De Marchi,CCC Team,1986-05-19,Italy,1.8,65.0,alessandro-de-marchi
609,Giairo Ermeti,noteam,1981-04-07,Italy,0.0,0.0,giairo-ermeti
610,Fabio Felline,Trek - Segafredo,1990-03-29,Italy,1.75,68.0,fabio-felline
611,Roberto Ferrari,UAE-Team Emirates,1983-03-09,Italy,1.73,73.0,roberto-ferrari
612,Tomas Aurelio Gil,noteam,1977-05-23,Venezuela,0.0,0.0,tomas-aurelio-gil-martinez
613,Salvatore Mancuso,noteam,1986-02-05,Italy,0.0,0.0,salvatore-mancuso
614,Yonathan Monsalve,Tianyoude Hotel Cycling Team,1989-06-28,Venezuela,1.76,62.0,yonathan-monsalve
615,Francisco Javier Moreno,noteam,1989-04-10,Spain,0.0,0.0,francisco-javier-moreno
616,Carlos José Ochoa,noteam,1980-12-14,Venezuela,1.8,62.0,carlos-jose-ochoa
617,Antonino Parrinello,noteam,1988-10-02,Italy,0.0,0.0,antonino-parrinello
618,Franco Pellizotti,noteam,1978-01-15,Italy,1.75,64.0,franco-pellizotti
619,Jonathan Perdiguero,noteam,1988-05-23,Spain,0.0,0.0,jonathan-perdiguero
620,Jackson Rodríguez,noteam,1985-02-25,Venezuela,1.7,58.0,jackson-rodriguez
621,Miguel Angel Rubiano,Coldeportes Zenu,1984-10-03,Colombia,1.7,58.0,miguel-angel-rubiano
622,José Humberto Rujano,noteam,1982-02-18,Venezuela,1.62,48.0,jose-humberto-rujano
623,Antonio Santoro,Monkey Town - à Bloc CT,1989-09-13,Italy,1.67,53.0,antonio-santoro
624,Emanuele Sella,noteam,1981-01-09,Italy,1.65,54.0,emanuele-sella
625,José Rodolfo Serpa,GW - Shimano,1979-04-17,Colombia,1.78,64.0,jose-rodolfo-serpa
626,Albert Torres,noteam,1990-04-26,Spain,0.0,0.0,albert-torres
627,Miguel Armando Ubeto,noteam,1976-09-02,Venezuela,1.68,60.0,miguel-armando-ubeto
628,Jonas Ahlstrand,noteam,1990-02-16,Sweden,1.77,72.0,jonas-ahlstrand
629,Warren Barguil,Team Arkéa Samsic,1991-10-28,France,1.83,60.0,warren-barguil
630,Thomas Bonnin,noteam,1989-05-10,France,0.0,0.0,thomas-bonnin
631,Ian Boswell,Team Katusha Alpecin,1991-02-07,United States,1.85,70.0,ian-boswell
632,Roy Curvers,Team Sunweb,1979-12-27,Netherlands,1.88,73.0,roy-curvers
633,Thomas Damuseau,noteam,1989-03-18,France,0.0,0.0,thomas-damuseau
634,Bert de Backer,Vital Concept - B&B Hotels,1984-04-02,Belgium,1.83,79.0,bert-de-backer
635,Koen de Kort,Trek - Segafredo,1982-09-08,Netherlands,1.79,69.0,koen-de-kort
636,John Degenkolb,Trek - Segafredo,1989-01-07,Germany,1.8,77.0,john-degenkolb
637,Yukihiro Doi,noteam,1983-09-18,Japan,0.0,0.0,yukihiro-doi
638,Tom Dumoulin,Team Sunweb,1990-11-11,Netherlands,1.85,69.0,tom-dumoulin
639,Johannes Fröhlinger,Team Sunweb,1985-06-09,Germany,1.73,62.0,johannes-frohlinger
640,Alexandre Geniez,AG2R La Mondiale,1988-04-16,France,1.82,64.0,alexandre-geniez
641,Simon Geschke,CCC Team,1986-03-13,Germany,1.7,64.0,simon-geschke
642,Patrick Gretsch,noteam,1987-04-07,Germany,1.87,69.0,patrick-gretsch
643,Feng Han,noteam,1985-12-14,China,0.0,0.0,feng-han
644,Yann Huguet,noteam,1984-05-02,France,1.77,66.0,yann-huguet
645,Thierry Hupond,noteam,1984-11-10,France,1.78,65.0,thierry-hupond
646,Cheng Ji,noteam,1987-07-15,China,1.78,67.0,cheng-ji
647,Marcel Kittel,noteam,1988-05-11,Germany,1.88,82.0,marcel-kittel
648,Dominic Klemme,noteam,1986-10-31,Germany,0.0,0.0,dominic-klemme
649,Roger Kluge,Lotto Soudal,1986-02-05,Germany,1.92,83.0,roger-kluge
650,Tobias Ludvigsson,Groupama - FDJ,1991-02-22,Sweden,1.94,76.0,tobias-ludvigsson
651,Ramon Sinkeldam,Groupama - FDJ,1989-02-09,Netherlands,1.93,77.0,ramon-sinkeldam
652,Matthieu Sprick,noteam,1981-09-29,France,1.81,71.0,matthieu-sprick
653,Tom Stamsnijder,noteam,1985-05-15,Netherlands,1.91,76.0,tom-stamsnijder
654,Albert Timmer,noteam,1985-06-13,Netherlands,1.86,71.0,albert-timmer
655,Ronan van Zandbeek,noteam,1988-09-27,Netherlands,1.84,72.0,ronan-van-zandbeek
656,Tom Veelers,noteam,1984-09-14,Netherlands,1.84,75.0,tom-veelers
657,Eric Berthou,noteam,1980-01-23,France,0.0,0.0,eric-berthou
658,Jean Marc Bideau,noteam,1984-04-08,France,1.92,73.0,jean-marc-bideau
659,Guillaume Blot,noteam,1985-03-28,France,0.0,0.0,guillaume-blot
660,Dimitri Champion,noteam,1983-09-06,France,0.0,0.0,dimitri-champion
661,Jean-Luc Delpech,noteam,1979-10-27,France,0.0,0.0,jean-luc-delpech
662,Renaud Dion,noteam,1978-01-06,France,0.0,0.0,renaud-dion
663,Sébastien Duret,noteam,1980-09-03,France,0.0,0.0,sebastien-duret
664,Armindo Fonseca,noteam,1989-05-01,France,1.68,56.0,armindo-fonseca
665,Florian Guillou,noteam,1982-12-29,France,1.96,71.0,florian-guillou
666,Mathieu Halleguen,noteam,1988-10-11,France,0.0,0.0,mathieu-halleguen
667,Romain Hardy,Team Arkéa Samsic,1988-08-24,France,1.72,62.0,romain-hardy
668,Johan Le Bon,Vital Concept - B&B Hotels,1990-10-03,France,1.8,71.0,johan-le-bon
669,Geoffroy Lequatre,noteam,1981-06-30,France,0.0,0.0,geoffroy-lequatre
670,Gael Malacarne,noteam,1986-04-02,France,0.0,0.0,gael-malacarne
671,Laurent Pichon,Team Arkéa Samsic,1986-07-19,France,1.78,69.0,laurent-pichon
672,Florian Vachon,Team Arkéa Samsic,1985-01-02,France,1.79,65.0,florian-vachon
673,Javier Aramendia,noteam,1986-12-05,Spain,1.87,72.0,javier-aramendia
674,Garikoitz Bravo,Euskadi Basque Country - Murias,1989-07-31,Spain,1.74,62.0,garikoitz-bravo
675,Hernâni Brôco,noteam,1981-06-13,Portugal,0.0,0.0,hernani-broco
676,Manuel Antonio Leal Cardoso,noteam,1983-04-07,Portugal,0.0,0.0,manuel-cardoso
677,André Cardoso,noteam,1984-09-03,Portugal,1.68,56.0,andre-cardoso
678,David de la Cruz,Team INEOS,1989-05-06,Spain,1.82,66.0,david-de-la-cruz
679,David de la Fuente,Ludofoods Louletano Aviludo,1981-05-04,Spain,1.75,67.0,david-de-la-fuente
680,Jesus del Pino,Vito-Feirense-Pnb,1990-09-09,Spain,0.0,0.0,jesus-del-pino
681,Karol Domagalski,Team Hurom,1989-08-09,Poland,1.92,77.0,karol-domagalski
682,Ramon Domene,noteam,1990-01-02,Spain,0.0,0.0,ramon-domene-reyes
683,Fabricio Ferrari,Efapel,1985-06-03,Uruguay,1.77,64.0,fabricio-ferrari
684,Aitor Galdós,noteam,1979-11-08,Spain,0.0,0.0,aitor-galdos
685,Marcos García,Kinan Cycling Team,1986-12-04,Spain,1.69,55.0,marcos-garcia
686,Yelko Gómez,noteam,1989-03-09,Panama,0.0,0.0,yelko-gomez
687,Anttón Ibarguren,noteam,1989-04-20,Spain,0.0,0.0,antton-ibarguren
688,Francesco Lasca,noteam,1988-03-29,Italy,0.0,0.0,francesco-lasca
689,Enzo Josué Moyano,Equipo Continental Municipalidad de Pocito,1989-02-15,Argentina,1.75,0.0,enzo-josue-moyano
690,Danail Andonov Petrov,noteam,1978-02-05,Bulgaria,1.7,63.0,danail-andonov-petrov
691,Antonio Piedra,noteam,1985-10-10,Spain,1.78,61.0,antonio-piedra
692,Igor Romero,noteam,1986-07-11,Spain,0.0,0.0,igor-romero-etxebarria
693,Alexander Ryabkin,noteam,1989-05-01,Russia,0.0,0.0,alexander-ryabkin
694,Julián Sánchez,noteam,1980-02-26,Spain,0.0,0.0,julian-sanchez-pimienta
695,Clinton Avery,noteam,1987-12-03,New Zealand,0.0,0.0,clinton-avery
696,Joris Boillat,noteam,1983-01-23,Switzerland,0.0,0.0,joris-boillat
697,Chris Butler,noteam,1988-02-16,United States,1.8,61.0,chris-butler
698,Will Clarke,Trek - Segafredo,1985-04-11,Australia,1.92,81.0,william-clarke
699,Matthias Friedemann,noteam,1984-08-17,Germany,0.0,0.0,matthias-friedemann
700,Gorik Gardeyn,noteam,1980-03-17,Belgium,0.0,0.0,gorik-gardeyn
701,Kun Jiang,noteam,1989-12-13,China,0.0,0.0,kun-jiang
702,Pengda Jiao,noteam,1986-06-13,China,0.0,0.0,pengda-jiao
703,Aaron Kemps,noteam,1983-09-10,Australia,0.0,0.0,aaron-kemps
704,Jaan Kirsipuu,noteam,1969-07-17,Estonia,0.0,0.0,jaan-kirsipuu
705,Craig Lewis,noteam,1985-01-10,United States,0.0,0.0,craig-lewis
706,Biao Liu,noteam,1988-03-15,China,0.0,0.0,biao-liu
707,Anuar Manan,noteam,1986-10-11,Malaysia,0.0,0.0,anuar-manan
708,Mart Ojavee,noteam,1981-11-09,Estonia,0.0,0.0,mart-ojavee
709,Muhamad Adiq Husaine Othman,noteam,1991-04-29,Malaysia,0.0,0.0,muhamad-adiq-husaine-othman
710,Steven Wong,noteam,1988-04-28,China,0.0,0.0,steven-wong
711,Kin San Wu,noteam,1985-05-04,Hongkong,1.75,68.0,kin-san-wu
712,Cameron Wurf,noteam,1983-08-03,Australia,0.0,0.0,cameron-wurf
713,Gang Xu,noteam,1984-01-28,China,1.87,69.0,gang-xu
714,Yoann Bagot,Vital Concept - B&B Hotels,1987-09-06,France,1.82,65.0,yoann-bagot
715,Florent Barle,noteam,1986-01-17,France,0.0,0.0,florent-barle
716,Jérémy Bescond,noteam,1991-02-27,France,0.0,0.0,jeremy-bescond
717,Mickaël Buffaz,noteam,1979-05-21,France,0.0,0.0,mickael-buffaz
718,Edwig Cammaerts,noteam,1987-07-17,Belgium,1.83,74.0,edwig-cammaerts
719,Erwann Corbel,noteam,1991-04-20,France,1.8,0.0,erwann-corbel
720,Jean-Eudes Demaret,noteam,1984-07-25,France,0.0,0.0,jean-eudes-demaret
721,Rémy Di Grégorio,noteam,1985-07-31,France,1.8,67.0,remy-di-gregorio
722,Samuel Dumoulin,AG2R La Mondiale,1980-08-20,France,1.59,56.0,samuel-dumoulin
723,Leonardo Fabio Duque,noteam,1980-04-10,Colombia,1.7,59.0,leonardo-duque
724,Nicolas Edet,"Cofidis, Solutions Crédits",1987-12-02,France,1.76,60.0,nicolas-edet
725,Julien Fouchard,noteam,1986-08-20,France,1.87,74.0,julien-fouchard
726,Egoitz García,noteam,1986-03-31,Spain,1.8,70.0,egoitz-garcia
727,Jan Ghyselinck,noteam,1988-02-24,Belgium,1.83,74.0,jan-ghyselinck
728,Arnaud Labbé,noteam,1976-11-03,France,0.0,0.0,arnaud-labbe
729,Luis Ángel Maté,"Cofidis, Solutions Crédits",1984-03-23,Spain,1.78,68.0,luis-angel-mate
730,Rudy Molard,Groupama - FDJ,1989-09-17,France,1.78,62.0,rudy-molard
731,David Moncoutié,noteam,1975-04-30,France,1.8,69.0,david-moncoutie
732,Damien Monier,Aisan Racing Team,1982-08-27,France,0.0,0.0,damien-monier
733,Adrien Petit,Team Total Direct Energie,1990-09-26,France,1.88,80.0,adrien-petit
734,Aleksejs Saramotins,Interpro Cycling Academy,1982-04-08,Latvia,1.85,75.0,aleksejs-saramotins
735,Nico Sijmens,noteam,1978-04-01,Belgium,0.0,0.0,nico-sijmens
736,Rein Taaramäe,Team Total Direct Energie,1987-04-24,Estonia,1.84,66.0,rein-taaramae
737,Jimmy Turgis,Vital Concept - B&B Hotels,1991-08-10,France,1.75,75.0,jimmy-turgis
738,Tristan Valentin,noteam,1982-02-23,France,0.0,0.0,tristan-valentin
739,Nicolas Vogondy,noteam,1977-08-08,France,0.0,0.0,nicolas-vogondy
740,Romain Zingle,noteam,1987-01-29,Belgium,1.75,67.0,romain-zingle
741,Enrico Barbin,Bardiani - CSF,1990-03-04,Italy,1.66,60.0,enrico-barbin
742,Enrico Battaglin,Team Katusha Alpecin,1989-11-17,Italy,1.74,66.0,enrico-battaglin
743,Nicola Boem,noteam,1989-09-27,Italy,1.87,75.0,nicola-boem
744,Gianluca Brambilla,Trek - Segafredo,1987-08-22,Italy,1.7,57.0,gianluca-brambilla
745,Marco Canola,Nippo Vini Fantini Faizanè,1988-12-26,Italy,1.8,66.0,marco-canola
746,Sonny Colbrelli,Bahrain Merida,1990-05-17,Italy,1.76,74.0,sonny-colbrelli
747,Marco Coledan,noteam,1988-08-22,Italy,1.9,83.0,marco-coledan
748,Christian Delle Stelle,noteam,1989-02-04,Italy,1.7,65.0,christian-delle-stelle
749,Andrea di Corrado,noteam,1988-08-13,Italy,0.0,0.0,andrea-di-corrado
750,Roberto Giacobazzi,noteam,1991-03-13,Italy,0.0,0.0,roberto-giacobazzi
751,Paolo Locatelli,noteam,1989-11-04,Italy,0.0,0.0,paolo-locatelli
752,Stefano Locatelli,noteam,1989-02-26,Italy,1.76,60.0,stefano-locatelli
753,Omar Lombardi,noteam,1989-09-16,Italy,0.0,0.0,omar-lombardi
754,Sacha Modolo,EF Education First,1987-06-19,Italy,1.8,67.0,sacha-modolo
755,Angelo Pagani,noteam,1988-08-04,Italy,0.0,0.0,angelo-pagani
756,Andrea Pasqualon,Wanty - Gobert Cycling Team,1988-01-02,Italy,1.74,68.0,andrea-pasqualon
757,Stefano Pirazzi,noteam,1987-03-11,Italy,1.8,62.0,stefano-pirazzi
758,Domenico Pozzovivo,Bahrain Merida,1982-11-30,Italy,1.65,53.0,domenico-pozzovivo
759,Filippo Savini,noteam,1985-05-02,Italy,1.78,0.0,filippo-savini
760,Darwin Atapuma,"Cofidis, Solutions Crédits",1988-01-15,Colombia,1.68,59.0,darwin-atapuma
761,Robinson Chalapud,Medellin,1984-03-08,Colombia,1.75,63.0,robinson-chalapud
762,Esteban Chaves,Mitchelton-Scott,1990-01-17,Colombia,1.64,55.0,johan-esteban-chaves
763,Fabio Duarte,Medellin,1986-06-11,Colombia,1.66,55.0,fabio-andres-duarte
764,Juan Pablo Forero,noteam,1983-08-03,Colombia,0.0,0.0,juan-pablo-forero
765,Javier Alberto Gonzalez,noteam,1979-11-13,Colombia,0.0,0.0,javier-gonzalez-barrera
766,Luis Felipe Laverde,GW - Shimano,1979-07-06,Colombia,1.69,63.0,luis-felipe-laverde-jimenez
767,Wilson Alexander Marentes,noteam,1985-08-08,Colombia,0.0,0.0,wilson-alexander-marentes
768,Franck Osorio,Coldeportes Bicicletas Strongman,1987-08-28,Colombia,0.0,0.0,franck-osorio
769,Dalivier Ospina,noteam,1985-10-09,Colombia,0.0,0.0,dalivier-ospina
770,Jarlinson Pantano,noteam,1988-11-19,Colombia,1.73,61.0,jarlinson-pantano
771,Victor Hugo Peña,noteam,1974-07-10,Colombia,0.0,0.0,victor-hugo-pena
772,Dúber Quintero,noteam,1990-08-23,Colombia,1.75,0.0,duber-quintero
773,Carlos Quintero,Ningxia Sports Lottery - Livall Cycling team,1986-03-05,Colombia,1.78,63.0,carlos-quintero
774,Michael Rodriguez,noteam,1989-07-29,Colombia,0.0,0.0,michael-rodriguez
775,Jeffry Romero,noteam,1989-10-04,Colombia,0.0,0.0,jeffry-romero
776,Juan Pablo Suarez,GW - Shimano,1985-05-30,Colombia,0.0,0.0,juan-pablo-suarez
777,Juan Pablo Valencia,noteam,1988-05-02,Colombia,1.78,71.0,juan-pablo-valencia
778,Rafael Andriato,São Francisco Saùde / Klabin / SME Ribeirão Preto,1987-10-20,Brazil,1.77,67.0,rafael-andriato
779,Luca Ascani,noteam,1983-06-29,Italy,0.0,0.0,luca-ascani
780,Alfredo Balloni,noteam,1989-09-20,Italy,0.0,0.0,alfredo-balloni
781,Cristian Benenati,noteam,1982-07-15,Italy,0.0,0.0,cristian-benenati
782,Thomas Bertolini,noteam,1988-07-10,Italy,0.0,0.0,thomas-bertolini
783,Stefano Borchi,noteam,1987-03-09,Italy,0.0,0.0,stefano-borchi
784,Diego Caccia,noteam,1981-10-15,Italy,0.0,0.0,diego-caccia
785,Pier Paolo De Negri,noteam,1986-06-05,Italy,1.7,61.0,pier-paolo-de-negri
786,Roberto De Patre,noteam,1988-09-13,Italy,0.0,0.0,roberto-de-patre
787,Francesco Failli,noteam,1983-12-16,Italy,0.0,0.0,francesco-failli
788,Elia Favilli,noteam,1989-01-31,Italy,1.72,61.0,elia-favilli
789,Oscar Gatto,BORA - hansgrohe,1985-01-01,Italy,1.74,67.0,oscar-gatto
790,Leonardo Giordani,noteam,1977-05-27,Italy,0.0,0.0,leonardo-giordani
791,Andrea Guardini,Bardiani - CSF,1989-06-12,Italy,1.75,66.0,andrea-guardini
792,Kevin Hulsmans,noteam,1978-04-11,Belgium,0.0,0.0,kevin-hulsmans
793,Luca Mazzanti,noteam,1974-02-04,Italy,0.0,0.0,luca-mazzanti
794,Cristiano Monguzzi,noteam,1985-08-31,Italy,0.0,0.0,cristiano-monguzzi
795,Umberto Nardecchia,noteam,1981-05-11,Italy,0.0,0.0,umberto-nardecchia
796,Filippo Pozzato,noteam,1981-09-10,Italy,1.83,73.0,filippo-pozzato
797,Alessandro Proni,noteam,1982-12-28,Italy,0.0,0.0,alessandro-proni
798,Matteo Rabottini,Meridiana Kamen Team,1987-08-14,Italy,0.0,0.0,matteo-rabottini
799,Davide Ricci Bitti,noteam,1984-02-12,Italy,0.0,0.0,davide-ricci-bitti
800,Giuseppe Rufo,noteam,1987-11-05,Italy,0.0,0.0,giuseppe-rufo
801,Sebastian Stamegna,noteam,1989-06-24,Italy,1.78,73.0,sebastian-stamegna
802,Antonio Viola,noteam,1990-09-21,Italy,1.71,69.0,antonio-viola
803,Frédéric Amorison,noteam,1978-02-16,Belgium,0.0,0.0,frederic-amorison
804,Frederik Backaert,Wanty - Gobert Cycling Team,1990-03-13,Belgium,1.88,75.0,frederik-backaert
805,Vincent Baestaens,noteam,1989-06-18,Belgium,0.0,0.0,vincent-baestaens
806,Koen Barbé,noteam,1981-01-20,Belgium,0.0,0.0,koen-barbe
807,Dirk Bellemakers,noteam,1984-01-19,Netherlands,0.0,0.0,dirk-bellemakers
808,Jonathan Breyne,noteam,1991-01-04,Belgium,0.0,0.0,jonathan-breyne
809,Joeri Bueken,noteam,1991-03-01,Belgium,0.0,0.0,joeri-bueken
810,Kevin Claeys,noteam,1988-03-26,Belgium,0.0,0.0,kevin-claeys
811,Stefan Cohnen,noteam,1982-12-04,Netherlands,0.0,0.0,stefan-cohnen
812,Davy Commeyne,noteam,1980-05-14,Belgium,0.0,0.0,davy-commeyne
813,Bert de Waele,noteam,1975-07-21,Belgium,0.0,0.0,bert-de-waele
814,Sébastien Delfosse,noteam,1982-11-29,Belgium,1.87,73.0,sebastien-delfosse
815,Gilles Devillers,noteam,1985-02-12,Belgium,0.0,0.0,gilles-devillers
816,Matti Helminen,noteam,1975-08-14,Finland,0.0,0.0,matti-helminen
817,Reinier Honig,noteam,1983-10-28,Netherlands,1.77,63.0,reinier-honig
818,Kurt Hovelijnck,noteam,1981-06-02,Belgium,0.0,0.0,kurt-hovelijnck
819,Egidijus Juodvalkis,noteam,1988-04-08,Lithuania,0.0,0.0,egidijus-juodvalkis
820,Sven Nys,noteam,1976-06-17,Belgium,1.81,73.0,sven-nys
821,Kevin Peeters,noteam,1987-02-05,Belgium,0.0,0.0,kevin-peeters
822,Baptiste Planckaert,Wallonie-Bruxelles,1988-09-28,Belgium,1.76,66.0,baptiste-planckaert
823,Joeri Stallaert,Corendon - Circus,1991-01-25,Belgium,1.81,70.0,joeri-stallaert
824,Bobbie Traksel,noteam,1981-11-03,Netherlands,0.0,0.0,bobbie-traksel
825,Kjell Van Driessche,noteam,1989-01-09,Belgium,0.0,0.0,kjell-van-driessche
826,Sven Vanthourenhout,noteam,1981-01-14,Belgium,1.82,65.0,sven-vanthourenhout
827,Arkimedes Arguelyes,noteam,1988-07-09,Russia,0.0,0.0,arkimedes-arguelyes
828,Alexander Budaragin,noteam,1988-03-05,Russia,0.0,0.0,alexander-budaragin
829,Artur Ershov,noteam,1990-03-07,Russia,1.85,70.0,artur-ershov
830,Nikita Eskov,noteam,1983-01-23,Russia,0.0,0.0,nikita-eskov
831,Sergey Firsanov,noteam,1982-07-03,Russia,1.72,58.0,sergey-firsanov
832,Valery Kaikov,noteam,1988-05-07,Russia,0.0,0.0,valery-kaikov
833,Alexander Khatuntsev,noteam,1985-02-11,Russia,0.0,0.0,alexander-khatuntsev
834,Sergey Klimov,noteam,1980-07-07,Russia,0.0,0.0,sergey-klimov
835,Evgeny Kovalev,noteam,1989-03-06,Russia,0.0,0.0,evgeny-kovalev
836,Ivan Kovalev,noteam,1986-07-26,Russia,0.0,0.0,ivan-kovalev
837,Dmitry Kozontchuk,noteam,1984-04-05,Russia,1.87,75.0,dmitry-kozonchuk
838,Leonid Krasnov,noteam,1988-01-24,Russia,0.0,0.0,leonid-krasnov
839,Roman Maikin,Minsk Cycling Club,1990-08-14,Russia,1.77,68.0,roman-maikin
840,Victor Manakov,noteam,1992-06-09,Russia,0.0,0.0,victor-manakov
841,Alexei Markov,noteam,1979-05-26,Russia,0.0,0.0,alexei-markov
842,Alexander Mironov,noteam,1984-01-21,Russia,0.0,0.0,alexander-mironov
843,Artem Ovechkin,Terengganu Cycling Team,1986-07-11,Russia,1.73,59.0,artem-ovechkin
844,Ivan Rovny,Gazprom-RusVelo,1987-09-30,Russia,1.73,62.0,ivan-rovny
845,Anton Samokhvalov,noteam,1986-11-18,Russia,0.0,0.0,anton-samokhvalov
846,Ivan Savitskiy,noteam,1992-03-06,Russia,1.82,72.0,ivan-savitskiy
847,Alexander Serov,noteam,1982-11-12,Russia,1.89,77.0,alexander-serov
848,Nikolay Trusov,China Continental Team of Gansu Bank,1985-07-02,Russia,1.86,77.0,nikolay-trusov
849,Valery Valynin,noteam,1986-12-10,Russia,0.0,0.0,valery-valynin
850,Nikolay Zhurkin,noteam,1991-05-05,Russia,0.0,0.0,nikolay-zhurkin
851,Matvey Zubov,noteam,1991-01-22,Russia,0.0,0.0,matvey-zubov
852,Cyril Bessy,noteam,1986-05-29,France,0.0,0.0,cyril-bessy
853,Jérôme Coppel,noteam,1986-08-06,France,1.78,64.0,jerome-coppel
854,Arnaud Coyot,noteam,1980-10-06,France,0.0,0.0,arnaud-coyot
855,Anthony Delaplace,Team Arkéa Samsic,1989-09-11,France,1.81,65.0,anthony-delaplace
856,Jimmy Engoulvent,noteam,1979-12-07,France,1.87,82.0,jimmy-engoulvent
857,Brice Feillu,noteam,1985-07-26,France,1.9,69.0,brice-feillu
858,Jérémie Galland,noteam,1983-04-08,France,0.0,0.0,jeremie-galland
859,Jonathan Hivert,Team Total Direct Energie,1985-03-23,France,1.7,62.0,jonathan-hivert
860,Fabrice Jeandesboz,noteam,1984-12-04,France,1.79,69.0,fabrice-jeandesboz
861,Emmanuel Keo,noteam,1991-01-30,France,0.0,0.0,emmanuel-keo
862,Christophe Laborie,noteam,1986-08-05,France,1.81,67.0,christophe-laborie
863,David Lelay,noteam,1979-12-30,France,0.0,0.0,david-lelay
864,Cyril Lemoine,"Cofidis, Solutions Crédits",1983-03-03,France,1.82,73.0,cyril-lemoine
865,Guillaume Levarlet,noteam,1985-07-25,France,1.83,67.0,guillaume-levarlet
866,Laurent Mangel,noteam,1981-05-22,France,0.0,0.0,laurent-mangel
867,Jean-Marc Marino,noteam,1983-08-15,France,1.77,65.0,jean-marc-marino
868,Rony Martias,noteam,1980-08-04,France,0.0,0.0,rony-martias
869,Maxime Méderel,noteam,1980-09-19,France,1.73,59.0,maxime-mederel
870,Jean-lou Paiani,noteam,1988-12-23,France,0.0,0.0,jean-lou-paiani
871,Stéphane Poulhiès,noteam,1985-06-26,France,1.85,77.0,stephane-poulhies
872,Paul Poux,noteam,1984-09-07,France,1.81,70.0,paul-poux
873,Maxime Renault,noteam,1990-01-02,France,0.0,0.0,maxime-renault
874,Julien Simon,"Cofidis, Solutions Crédits",1985-10-04,France,1.76,65.0,julien-simon
875,Yannick Talabardon,noteam,1981-07-06,France,0.0,0.0,yannick-talabardon
876,Etienne Tortelier,noteam,1990-04-14,France,0.0,0.0,etienne-tortelier
877,Alexis Vuillermoz,AG2R La Mondiale,1988-06-01,France,1.74,60.0,alexis-vuillermoz
878,Ryan Anderson,Rally UHC Cycling,1987-07-22,Canada,1.77,66.0,ryan-anderson
879,Zach Bell,noteam,1982-11-14,Canada,0.0,0.0,zach-bell
880,David Boily,noteam,1990-04-28,Canada,0.0,0.0,david-boily
881,Guillaume Boivin,Israel Cycling Academy,1989-05-25,Canada,1.8,78.0,guillaume-boivin
882,Flavio De Luna,303Project,1990-01-26,Mexico,0.0,0.0,flavio-de-luna
883,Antoine Duchesne,Groupama - FDJ,1991-09-12,Canada,1.9,75.0,antoine-duchesne
884,Caleb Fairly,noteam,1987-02-19,United States,1.7,60.0,caleb-fairly
885,Martin Gilbert,noteam,1982-10-30,Canada,0.0,0.0,martin-gilbert
886,Hugo Houle,Astana Pro Team,1990-09-27,Canada,1.85,71.0,hugo-houle
887,Raimond Künzli,noteam,1984-09-01,Switzerland,0.0,0.0,raimond-kunzli
888,Keven Lacombe,noteam,1985-07-12,Canada,0.0,0.0,keven-lacombe
889,Simon Lambert-Lemay,noteam,1990-07-16,Canada,0.0,0.0,simon-lambert-lemay
890,Jonathan Patrick McCarty,noteam,1982-01-24,United States,1.78,68.0,jonathan-patrick-mccarty
891,François Parisien,noteam,1982-04-27,Canada,0.0,0.0,francois-parisien
892,Ryan Roth,X-Speed United,1983-01-10,Canada,0.0,0.0,ryan-roth
893,Will Routley,noteam,1983-05-23,Canada,0.0,0.0,will-routley
894,Bjorn Selander,noteam,1988-01-28,United States,0.0,0.0,bjorn-selander
895,Brian Bach Vandborg,noteam,1981-12-04,Denmark,1.87,75.0,brian-vandborg
896,Yukiya Arashiro,Bahrain Merida,1984-09-22,Japan,1.7,64.0,yukiya-arashiro
