,Fullname,Teamname,Birthdate,Country,Height,Weight,pcs_url
215,Dennis van Winden,Israel Cycling Academy,19871202,Netherlands,1.8399999999999999,70.0,https://www.procyclingstats.com/rider/dennis-van-winden
216,Diego Rosa,Team Sky,19890327,Italy,1.78,65.0,https://www.procyclingstats.com/rider/diego-rosa
217,Diego Rubio,Burgos-BH ,19910613,Spain,1.9300000000000002,81.0,https://www.procyclingstats.com/rider/diego-rubio
218,Diego Ulissi,UAE-Team Emirates,19890715,Italy,1.75,61.0,https://www.procyclingstats.com/rider/diego-ulissi
219,Dimitri Claeys,"Cofidis, Solutions Crédits",19870618,Belgium,1.8900000000000001,77.0,https://www.procyclingstats.com/rider/dimitri-claeys
220,Dimitri Peyskens,WB Aqua Protect Veranclassic ,19911126,Belgium,1.82,70.0,https://www.procyclingstats.com/rider/dimitri-peyskens
221,Dion Smith,Wanty - Groupe Gobert,19930303,New Zealand,1.79,67.0,https://www.procyclingstats.com/rider/dion-smith
222,Dmitriy Gruzdev,Astana Pro Team,19860313,Kazakhstan,1.83,72.0,https://www.procyclingstats.com/rider/dmitriy-gruzdev
223,Dmitry Kozonchuk,Gazprom-RusVelo,19840405,Russia,1.87,75.0,https://www.procyclingstats.com/rider/dmitry-kozonchuk
224,Domen Novak,Bahrain Merida Pro Cycling Team,19950712,Slovenia,1.81,70.0,https://www.procyclingstats.com/rider/domen-novak
225,Domenico Pozzovivo,Bahrain Merida Pro Cycling Team,19821130,Italy,1.65,53.0,https://www.procyclingstats.com/rider/domenico-pozzovivo
226,Dorian Godon,"Cofidis, Solutions Crédits",19960525,France,1.8900000000000001,77.0,https://www.procyclingstats.com/rider/dorian-godon
227,Dries De Bondt,Vérandas Willems-Crelan ,19910704,Belgium,1.8399999999999999,72.0,https://www.procyclingstats.com/rider/dries-de-bondt
228,Dries Devenyns,Quick-Step Floors,19830722,Belgium,1.76,64.0,https://www.procyclingstats.com/rider/dries-devenyns
229,Dries Van Gestel,Sport Vlaanderen - Baloise,19940930,Belgium,1.88,69.0,https://www.procyclingstats.com/rider/dries-van-gestel
230,Dylan Groenewegen,Team LottoNL-Jumbo,19930621,Netherlands,1.77,70.0,https://www.procyclingstats.com/rider/dylan-groenewegen
231,Dylan Teuns,BMC Racing Team,19920301,Belgium,1.81,64.0,https://www.procyclingstats.com/rider/dylan-teuns
232,Dylan van Baarle,Team Sky,19920521,Netherlands,1.87,78.0,https://www.procyclingstats.com/rider/dylan-van-baarle
233,Edoardo Zardini,Wilier Triestina - Selle Italia,19891102,Italy,1.73,62.0,https://www.procyclingstats.com/rider/edoardo-zardini
234,Eduard Michael Grosu,Nippo - Vini Fantini - Europa Ovini,19920904,Romania,1.73,67.0,https://www.procyclingstats.com/rider/eduard-michael-grosu
235,Eduard Prades,Euskadi - Murias ,19870809,Spain,1.78,63.0,https://www.procyclingstats.com/rider/eduard-prades
236,Eduardo Sepúlveda,Movistar Team,19910613,Argentina,1.73,61.0,https://www.procyclingstats.com/rider/eduardo-sepulveda
237,Edvald Boasson Hagen,Team Dimension Data,19870517,Norway,1.85,75.0,https://www.procyclingstats.com/rider/edvald-boasson-hagen
238,Evaldas Šiškevičius,Delko Marseille Provence KTM,19881230,Lithuania,1.81,76.0,https://www.procyclingstats.com/rider/edvaldas-siskevicius
239,Edward Anderson,Hagens Berman Axeon,19980418,United States,0.0,0.0,https://www.procyclingstats.com/rider/edward-anderson
240,Edward Dunbar,Aqua Blue Sport,19960901,Ireland,0.0,0.0,https://www.procyclingstats.com/rider/edward-irl-dunbar
241,Edward Planckaert,Sport Vlaanderen - Baloise,19950201,Belgium,1.75,67.0,https://www.procyclingstats.com/rider/edward-planckaert
242,Edward Ravasi,UAE-Team Emirates,19940605,Italy,1.81,62.0,https://www.procyclingstats.com/rider/edward-ravasi
243,Edward Theuns,Team Sunweb  ,19910430,Belgium,1.83,72.0,https://www.procyclingstats.com/rider/edward-theuns
244,Edwin Avila,Israel Cycling Academy,19891121,Colombia,1.67,63.0,https://www.procyclingstats.com/rider/edwin-avila
245,Egan Arley Bernal,Team Sky,19970113,Colombia,1.74,60.0,https://www.procyclingstats.com/rider/egan-bernal
246,Elia Viviani,Quick-Step Floors,19890207,Italy,1.78,67.0,https://www.procyclingstats.com/rider/elia-viviani
247,Elias Van Breussegem,Vérandas Willems-Crelan ,19920410,Belgium,1.79,70.0,https://www.procyclingstats.com/rider/elias-van-breussegem
248,Elie Gesbert,Team Fortuneo - Samsic,19950701,France,1.81,63.0,https://www.procyclingstats.com/rider/elie-gesbert
249,Eliot Lietaer,WB Aqua Protect Veranclassic ,19900815,Belgium,1.88,69.0,https://www.procyclingstats.com/rider/eliot-lietaer
250,Elmar Reinders,Roompot - Nederlandse Loterij,19920314,Netherlands,1.9100000000000001,78.0,https://www.procyclingstats.com/rider/elmar-reinders
251,Emanuel Buchmann,BORA - hansgrohe,19921118,Germany,1.81,62.0,https://www.procyclingstats.com/rider/emanuel-buchmann
252,Emanuel Mini,Team Novo Nordisk,19860614,Argentina,0.0,0.0,https://www.procyclingstats.com/rider/emanuel-mini
253,Emerson Oronte,Rally Cycling,19900129,United States,0.0,0.0,https://www.procyclingstats.com/rider/emerson-oronte
254,Emiel Planckaert,Sport Vlaanderen - Baloise,19961022,Belgium,0.0,0.0,https://www.procyclingstats.com/rider/emiel-planckaert
255,Emmanuel Morin,noteam,19950313,France,0.0,0.0,https://www.procyclingstats.com/rider/emmanuel-morin
256,Enric Mas,Quick-Step Floors,19950107,Spain,1.77,61.0,https://www.procyclingstats.com/rider/enric-mas
257,Enrico Barbin,Bardiani - CSF,19900304,Italy,1.6600000000000001,60.0,https://www.procyclingstats.com/rider/enrico-barbin
258,Enrico Battaglin,Team LottoNL-Jumbo,19891117,Italy,1.74,66.0,https://www.procyclingstats.com/rider/enrico-battaglin
259,Enrico Gasparotto,Bahrain Merida Pro Cycling Team,19820322,Italy,1.74,65.0,https://www.procyclingstats.com/rider/enrico-gasparotto
260,Enrique Sanz,Euskadi - Murias ,19890911,Spain,1.71,64.0,https://www.procyclingstats.com/rider/enrique-sanz
261,Enzo Wouters,Lotto Soudal,19960321,Belgium,1.83,0.0,https://www.procyclingstats.com/rider/enzo-wouters
262,Eric Marcotte,UnitedHealthcare Pro Cycling Team,19800208,United States,0.0,0.0,https://www.procyclingstats.com/rider/eric-marcotte
263,Eric Young,Rally Cycling,19890226,United States,0.0,0.0,https://www.procyclingstats.com/rider/eric-young
264,Erik Baška,BORA - hansgrohe,19940112,Slovakia,1.82,74.0,https://www.procyclingstats.com/rider/erik-baska
265,Eros Capecchi,Quick-Step Floors,19860613,Italy,1.83,66.0,https://www.procyclingstats.com/rider/eros-capecchi
266,Erwann Corbel,Vital Concept Cycling Club,19910420,France,1.8,0.0,https://www.procyclingstats.com/rider/erwann-corbel
267,Etienne Van Empel,Roompot - Nederlandse Loterij,19940414,Netherlands,1.8599999999999999,64.0,https://www.procyclingstats.com/rider/etienne-van-empel
268,Eugenio Alafaci,Trek - Segafredo,19900809,Italy,1.87,77.0,https://www.procyclingstats.com/rider/eugenio-alafaci
269,Eugert Zhupa,Wilier Triestina - Selle Italia,19900404,Albania,1.83,78.0,https://www.procyclingstats.com/rider/eugert-zhupa
270,Evan Bybee,Holowesko - Citadel p/b Arapahoe Resources,19890313,United States,0.0,0.0,https://www.procyclingstats.com/rider/evan-bybee
271,Evan Huffman,Rally Cycling,19900107,United States,0.0,0.0,https://www.procyclingstats.com/rider/evan-huffman
272,Evgeny Kobernyak,Gazprom-RusVelo,19950124,Russia,0.0,0.0,https://www.procyclingstats.com/rider/evgeny-kobernyak
273,Evgeny Shalunov,Gazprom-RusVelo,19920108,Russia,0.0,0.0,https://www.procyclingstats.com/rider/evgeny-shalunov
274,Fabian Lienhard,Holowesko - Citadel p/b Arapahoe Resources,19930903,Switzerland,0.0,0.0,https://www.procyclingstats.com/rider/fabian-lienhard
275,Fabien Doubey,Wanty - Groupe Gobert,19931021,France,0.0,0.0,https://www.procyclingstats.com/rider/fabien-doubey
276,Fabien Grellier,Direct Energie,19941031,France,1.8,64.0,https://www.procyclingstats.com/rider/fabien-grellier
277,Fabio Duarte,Manzana Postobon,19860611,Colombia,1.6600000000000001,55.0,https://www.procyclingstats.com/rider/fabio-andres-duarte
278,Fabio Aru,UAE-Team Emirates,19900703,Italy,1.83,66.0,https://www.procyclingstats.com/rider/fabio-aru
279,Fabio Calabria,Team Novo Nordisk,19870827,Australia,0.0,0.0,https://www.procyclingstats.com/rider/fabio-calabria
280,Fabio Felline,Trek - Segafredo,19900329,Italy,1.75,68.0,https://www.procyclingstats.com/rider/fabio-felline
281,Fabio Jakobsen,Quick-Step Floors,19960831,Netherlands,0.0,0.0,https://www.procyclingstats.com/rider/fabio-jakobsen
282,Fabio Sabatini,Quick-Step Floors,19850218,Italy,1.87,74.0,https://www.procyclingstats.com/rider/fabio-sabatini
283,Fabricio Ferrari,Caja Rural - Seguros RGA,19850603,Uruguay,1.77,64.0,https://www.procyclingstats.com/rider/fabricio-ferrari
284,Fausto Masnada,Androni Giocattoli - Sidermec,19931106,Italy,0.0,0.0,https://www.procyclingstats.com/rider/fausto-masnada
285,Felix Grossschartner,BORA - hansgrohe,19931223,Austria,1.8399999999999999,64.0,https://www.procyclingstats.com/rider/felix-grossschartner
286,Fernando Barcelo,Euskadi - Murias ,19960106,Spain,0.0,0.0,https://www.procyclingstats.com/rider/fernando-barcelo
287,Fernando Gaviria,Quick-Step Floors,19940819,Colombia,1.8,71.0,https://www.procyclingstats.com/rider/fernando-gaviria
288,Fernando Orjuela,Manzana Postobon,19911104,Colombia,1.6800000000000002,60.0,https://www.procyclingstats.com/rider/fernando-orjuela
289,Filippo Ganna,UAE-Team Emirates,19960725,Italy,1.9300000000000002,76.0,https://www.procyclingstats.com/rider/filippo-ganna
290,Filippo Pozzato,Wilier Triestina - Selle Italia,19810910,Italy,1.83,73.0,https://www.procyclingstats.com/rider/filippo-pozzato
291,Filippo Zaccanti,Nippo - Vini Fantini - Europa Ovini,19950912,Italy,0.0,0.0,https://www.procyclingstats.com/rider/filippo-zaccanti
292,Florian Sénéchal,Quick-Step Floors,19930710,France,1.79,76.0,https://www.procyclingstats.com/rider/florian-senechal
293,Florian Vachon,Team Fortuneo - Samsic,19850102,France,1.79,65.0,https://www.procyclingstats.com/rider/florian-vachon
294,Floris De Tier,Team LottoNL-Jumbo,19920120,Belgium,1.72,59.0,https://www.procyclingstats.com/rider/floris-de-tier
295,Floris Gerts,Roompot - Nederlandse Loterij,19920503,Netherlands,1.82,71.5,https://www.procyclingstats.com/rider/floris-gerts
296,Francisco Ventoso,BMC Racing Team,19820506,Spain,1.8,76.0,https://www.procyclingstats.com/rider/fran-ventoso
297,Francesco Gavazzi,Androni Giocattoli - Sidermec,19840801,Italy,1.73,64.0,https://www.procyclingstats.com/rider/francesco-gavazzi
298,Franck Bonnamour,Team Fortuneo - Samsic,19950620,France,1.8,70.0,https://www.procyclingstats.com/rider/franck-bonnamour
299,Franco Pellizotti,Bahrain Merida Pro Cycling Team,19780115,Italy,1.75,64.0,https://www.procyclingstats.com/rider/franco-pellizotti
300,François Bidard,AG2R La Mondiale,19920319,France,1.8,65.0,https://www.procyclingstats.com/rider/francois-bidard
301,Franklin Six,WB Aqua Protect Veranclassic ,19961229,Belgium,0.0,0.0,https://www.procyclingstats.com/rider/franklin-six
302,Frantisek Sisr,CCC Sprandi Polkowice ,19930317,Czech Republic,1.8,71.0,https://www.procyclingstats.com/rider/frantisek-sisr
303,Frederik Backaert,Wanty - Groupe Gobert,19900313,Belgium,1.88,77.0,https://www.procyclingstats.com/rider/frederik-backaert
304,Frederik Frison,Lotto Soudal,19920728,Belgium,1.94,79.0,https://www.procyclingstats.com/rider/frederik-frison
305,Fumiyuki Beppu,Trek - Segafredo,19830410,Japan,1.8,69.0,https://www.procyclingstats.com/rider/fumiyuki-beppu
306,Garikoitz Bravo,Euskadi - Murias ,19890731,Spain,1.74,61.0,https://www.procyclingstats.com/rider/garikoitz-bravo
307,Gatis Smukulis,Delko Marseille Provence KTM,19870415,Latvia,1.83,72.0,https://www.procyclingstats.com/rider/gatis-smukulis
308,Gavin Mannion,UnitedHealthcare Pro Cycling Team,19910824,United States,1.75,58.0,https://www.procyclingstats.com/rider/gavin-mannion
309,Awet Gebremedhin ,Israel Cycling Academy,19920205,Sweden,0.0,0.0,https://www.procyclingstats.com/rider/gebremedhin-andemeskel-awet
310,Gediminas Bagdonas,AG2R La Mondiale,19851226,Lithuania,1.85,78.0,https://www.procyclingstats.com/rider/gediminas-bagdonas
311,Geoffrey Soupe,"Cofidis, Solutions Crédits",19880322,France,1.77,68.0,https://www.procyclingstats.com/rider/geoffrey-soupe
312,Georg Preidler,Groupama - FDJ,19900617,Austria,1.9,68.0,https://www.procyclingstats.com/rider/georg-preidler
313,George Bennett,Team LottoNL-Jumbo,19900407,New Zealand,1.8,58.0,https://www.procyclingstats.com/rider/george-bennett
314,Geraint Thomas,Team Sky,19860525,Great Britain,1.83,71.0,https://www.procyclingstats.com/rider/geraint-thomas
315,Giacomo Nizzolo,Trek - Segafredo,19890130,Italy,1.8399999999999999,72.0,https://www.procyclingstats.com/rider/giacomo-nizzolo
316,Gianluca Brambilla,Trek - Segafredo,19870822,Italy,1.7000000000000002,57.0,https://www.procyclingstats.com/rider/gianluca-brambilla
317,Gianni Moscon,Team Sky,19940420,Italy,1.82,70.0,https://www.procyclingstats.com/rider/gianni-moscon
318,Gijs Van Hoecke,Team LottoNL-Jumbo,19911112,Belgium,1.8599999999999999,77.0,https://www.procyclingstats.com/rider/gijs-van-hoecke
319,Giovanni Carboni,Bardiani - CSF,19950831,Italy,0.0,0.0,https://www.procyclingstats.com/rider/giovanni-carboni
320,Giovanni Visconti,Bahrain Merida Pro Cycling Team,19830113,Italy,1.75,63.0,https://www.procyclingstats.com/rider/giovanni-visconti
321,Giulio Ciccone,Bardiani - CSF,19941220,Italy,1.76,58.0,https://www.procyclingstats.com/rider/giulio-ciccone
322,Giuseppe Fonzi,Wilier Triestina - Selle Italia,19910802,Italy,1.8,63.0,https://www.procyclingstats.com/rider/giuseppe-fonzi
323,Gonzalo Serrano,Caja Rural - Seguros RGA,19940817,Spain,0.0,0.0,https://www.procyclingstats.com/rider/gonzalo-serrano
324,Gorka Izagirre,Bahrain Merida Pro Cycling Team,19871007,Spain,1.76,66.5,https://www.procyclingstats.com/rider/gorka-izagirre
325,Gotzon Udondo,Euskadi - Murias ,19931201,Spain,1.79,69.0,https://www.procyclingstats.com/rider/gotzon-udondo
326,Grant Koontz,Holowesko - Citadel p/b Arapahoe Resources,19940128,United States,0.0,0.0,https://www.procyclingstats.com/rider/grant-koontz
327,Greg Van Avermaet,BMC Racing Team,19850517,Belgium,1.81,74.0,https://www.procyclingstats.com/rider/greg-van-avermaet
328,Grega Bole,Bahrain Merida Pro Cycling Team,19850813,Slovenia,1.77,68.0,https://www.procyclingstats.com/rider/grega-bole
329,Gregor Mühlberger,BORA - hansgrohe,19940404,Austria,1.8,64.0,https://www.procyclingstats.com/rider/gregor-muhlberger
330,Gregory Daniel,Trek - Segafredo,19941108,United States,1.78,64.0,https://www.procyclingstats.com/rider/gregory-daniel
331,Gregory Habeaux,noteam,19821020,Belgium,1.83,68.0,https://www.procyclingstats.com/rider/gregory-habeaux
332,Gregory Rast,Trek - Segafredo,19800117,Switzerland,1.8599999999999999,80.0,https://www.procyclingstats.com/rider/gregory-rast
333,Guillaume Boivin,Israel Cycling Academy,19890525,Canada,1.8,78.0,https://www.procyclingstats.com/rider/guillaume-boivin
334,Guillaume Bonnafond,"Cofidis, Solutions Crédits",19870623,France,1.8399999999999999,68.0,https://www.procyclingstats.com/rider/guillaume-bonnafond
335,Guillaume Martin,Wanty - Groupe Gobert,19930609,France,1.73,55.0,https://www.procyclingstats.com/rider/guillaume-martin
336,Guillaume van Keirsbulck,Wanty - Groupe Gobert,19910214,Belgium,1.92,85.0,https://www.procyclingstats.com/rider/guillaume-van-keirsbulck
337,Guy Sagiv,Israel Cycling Academy,19941205,Israel,1.79,68.0,https://www.procyclingstats.com/rider/guy-sagiv
338,Hamish Schreurs,Israel Cycling Academy,19940123,New Zealand,1.77,69.0,https://www.procyclingstats.com/rider/hamish-schreurs
339,Harm Vanhoucke,Lotto Soudal,19970617,Belgium,0.0,0.0,https://www.procyclingstats.com/rider/harm-vanhoucke
340,Hartthijs De Vries,noteam,19960711,Netherlands,0.0,0.0,https://www.procyclingstats.com/rider/hartthijs-de
341,Hayato Yoshida,Nippo - Vini Fantini - Europa Ovini,19890519,Japan,0.0,0.0,https://www.procyclingstats.com/rider/hayato-yoshida
342,Héctor Carretero,Movistar Team,19950528,Spain,0.0,0.0,https://www.procyclingstats.com/rider/hector-carretero
343,Héctor Saez,Euskadi - Murias ,19931106,Spain,1.85,75.0,https://www.procyclingstats.com/rider/hector-saez
344,Heinrich Haussler,Bahrain Merida Pro Cycling Team,19840225,Australia,1.81,74.0,https://www.procyclingstats.com/rider/heinrich-haussler
345,Hermann Pernsteiner,Bahrain Merida Pro Cycling Team,19900807,Austria,0.0,0.0,https://www.procyclingstats.com/rider/hermann-pernsteiner
346,Hernan Aguirre,Manzana Postobon,19951213,Colombia,1.71,55.0,https://www.procyclingstats.com/rider/hernan-aguirre
347,Hernando Bohórquez,Manzana Postobon,19920622,Colombia,1.78,68.0,https://www.procyclingstats.com/rider/hernando-bohorquez
348,Hideto Nakane,Nippo - Vini Fantini - Europa Ovini,19900502,Japan,0.0,0.0,https://www.procyclingstats.com/rider/hideto-nakane
349,Hiroki Nishimura,Nippo - Vini Fantini - Europa Ovini,19941020,Japan,0.0,0.0,https://www.procyclingstats.com/rider/hiroki-nishimura
350,Hubert Dupont,AG2R La Mondiale,19801113,France,1.74,58.0,https://www.procyclingstats.com/rider/hubert-dupont
351,Hugh Carthy,Team EF Education First-Drapac p/b Cannondale,19940709,Great Britain,1.8900000000000001,63.0,https://www.procyclingstats.com/rider/hugh-carthy
352,Hugo Angel Velazquez,UnitedHealthcare Pro Cycling Team,19920716,Argentina,0.0,0.0,https://www.procyclingstats.com/rider/hugo-angel-velazquez
353,Hugo Hofstetter,"Cofidis, Solutions Crédits",19940213,France,1.7000000000000002,65.0,https://www.procyclingstats.com/rider/hugo-hofstetter
354,Hugo Houle,Astana Pro Team,19900927,Canada,1.85,71.0,https://www.procyclingstats.com/rider/hugo-houle
355,Huub Duijn,Vérandas Willems-Crelan ,19840901,Netherlands,1.8399999999999999,73.0,https://www.procyclingstats.com/rider/huub-duijn
356,Ian Boswell,Team Katusha - Alpecin,19910207,United States,1.85,70.0,https://www.procyclingstats.com/rider/ian-boswell
357,Ian Garrison,Hagens Berman Axeon,19980414,United States,0.0,0.0,https://www.procyclingstats.com/rider/ian-garrison
358,Ian Stannard,Team Sky,19870525,Great Britain,1.8900000000000001,83.0,https://www.procyclingstats.com/rider/ian-stannard
359,Ibai Salas,Burgos-BH ,19910704,Spain,0.0,0.0,https://www.procyclingstats.com/rider/ibai-salas
360,Ignatas Konovalovas,Groupama - FDJ,19851208,Lithuania,1.9,75.0,https://www.procyclingstats.com/rider/ignatas-konovalovas
361,Igor Anton,Team Dimension Data,19830302,Spain,1.73,58.0,https://www.procyclingstats.com/rider/igor-anton
362,Igor Boev,Gazprom-RusVelo,19891122,Russia,1.8599999999999999,74.0,https://www.procyclingstats.com/rider/igor-boev
363,Igor Merino,Burgos-BH ,19901016,Spain,0.0,0.0,https://www.procyclingstats.com/rider/igor-merino
364,Ildar Arslanov,Gazprom-RusVelo,19940406,Russia,1.85,63.0,https://www.procyclingstats.com/rider/ildar-arslanov
365,Ilia Koshevoy,Wilier Triestina - Selle Italia,19910320,Belarus,1.81,62.5,https://www.procyclingstats.com/rider/ilia-koshevoy
366,Iljo Keisse,Quick-Step Floors,19821221,Belgium,1.83,72.0,https://www.procyclingstats.com/rider/iljo-keisse
367,Ilnur Zakarin,Team Katusha - Alpecin,19890915,Russia,1.87,67.0,https://www.procyclingstats.com/rider/ilnur-zakarin
368,Imanol Erviti,Movistar Team,19831115,Spain,1.8900000000000001,75.0,https://www.procyclingstats.com/rider/imanol-erviti
369,Imerio Cima,Nippo - Vini Fantini - Europa Ovini,19971029,Italy,0.0,0.0,https://www.procyclingstats.com/rider/imerio-cima
370,Ion Izagirre,Bahrain Merida Pro Cycling Team,19890204,Spain,1.73,60.0,https://www.procyclingstats.com/rider/ion-izagirre
371,Iuri Filosi,Delko Marseille Provence KTM,19920117,Italy,0.0,0.0,https://www.procyclingstats.com/rider/iuri-filosi
372,Ivan Garcia Cortina,Bahrain Merida Pro Cycling Team,19951120,Spain,1.83,80.0,https://www.procyclingstats.com/rider/ivan-garcia-cortina
373,Ivan Ramiro Sosa ,Androni Giocattoli - Sidermec,19971031,Colombia,0.0,0.0,https://www.procyclingstats.com/rider/ivan-ramiro-sosa
374,Ivan Rovny,Gazprom-RusVelo,19870930,Russia,1.73,62.0,https://www.procyclingstats.com/rider/ivan-rovny
375,Ivan Santaromita,Nippo - Vini Fantini - Europa Ovini,19840430,Italy,1.76,58.0,https://www.procyclingstats.com/rider/ivan-santaromita
376,Ivo Oliveira,Hagens Berman Axeon,19960905,Portugal,1.85,68.0,https://www.procyclingstats.com/rider/ivo-emanuel-alves
377,Jack Bauer,Mitchelton-Scott,19850407,New Zealand,1.9100000000000001,74.0,https://www.procyclingstats.com/rider/jack-bauer
378,Jack Haig,Mitchelton-Scott,19930906,Australia,1.9,67.0,https://www.procyclingstats.com/rider/jack-haig
379,Jaco Venter,Team Dimension Data,19870213,South Africa,1.8900000000000001,70.0,https://www.procyclingstats.com/rider/jaco-venter
380,Jacopo Guarnieri,Groupama - FDJ,19870814,Italy,1.8900000000000001,78.0,https://www.procyclingstats.com/rider/jacopo-guarnieri
381,Jacopo Mosca,Wilier Triestina - Selle Italia,19930829,Italy,0.0,0.0,https://www.procyclingstats.com/rider/jacopo-mosca
382,Jacques Janse van Rensburg,Team Dimension Data,19870906,South Africa,1.75,63.0,https://www.procyclingstats.com/rider/jacques-janse-van-rensburg
383,Jai Hindley,Team Sunweb  ,19960505,Australia,0.0,0.0,https://www.procyclingstats.com/rider/jai-hindley
384,Jaime Castrillo,Movistar Team,19960313,Spain,0.0,0.0,https://www.procyclingstats.com/rider/jaime-castrillo
385,Jaime Roson,Movistar Team,19930113,Spain,1.79,62.0,https://www.procyclingstats.com/rider/jaime-roson
386,Jakob Fuglsang,Astana Pro Team,19850322,Denmark,1.82,68.0,https://www.procyclingstats.com/rider/jakob-fuglsang
387,Jakub Mareczko,Wilier Triestina - Selle Italia,19940430,Italy,1.69,68.0,https://www.procyclingstats.com/rider/jakub-mareczko
388,James Knox,Quick-Step Floors,19951104,Great Britain,0.0,0.0,https://www.procyclingstats.com/rider/james-knox
389,James Mitri,Burgos-BH ,19990228,New Zealand,0.0,0.0,https://www.procyclingstats.com/rider/james-mitri
390,James Shaw,Lotto Soudal,19960613,Great Britain,1.79,63.0,https://www.procyclingstats.com/rider/james-shaw
391,James Whelan,Drapac EF Cycling,19960711,Australia,0.0,0.0,https://www.procyclingstats.com/rider/james-whelan
392,Jan Bakelants,AG2R La Mondiale,19860214,Belgium,1.77,67.0,https://www.procyclingstats.com/rider/jan-bakelants
393,Jan Hirt,Astana Pro Team,19910121,Czech Republic,1.81,60.0,https://www.procyclingstats.com/rider/jan-hirt
394,Jan Polanc,UAE-Team Emirates,19920506,Slovenia,1.72,59.0,https://www.procyclingstats.com/rider/jan-polanc
395,Jan Tratnik,CCC Sprandi Polkowice ,19900223,Slovenia,1.73,67.0,https://www.procyclingstats.com/rider/jan-tratnik
396,Jan-Willem van Schip,Roompot - Nederlandse Loterij,19940820,Netherlands,1.94,84.0,https://www.procyclingstats.com/rider/jan-willem-van-schip
397,Janier Alexis Acevedo,UnitedHealthcare Pro Cycling Team,19851206,Colombia,1.75,63.0,https://www.procyclingstats.com/rider/janier-alexis-acevedo
398,Jarlinson Pantano,Trek - Segafredo,19881119,Colombia,1.73,61.0,https://www.procyclingstats.com/rider/jarlinson-pantano
399,Jasha Sütterlin,Movistar Team,19921104,Germany,1.8399999999999999,78.0,https://www.procyclingstats.com/rider/jasha-sutterlin
400,Jasper de Buyst,Lotto Soudal,19931124,Belgium,1.78,69.0,https://www.procyclingstats.com/rider/jasper-de-buyst
401,Jasper Philipsen,Hagens Berman Axeon,19980302,Belgium,0.0,0.0,https://www.procyclingstats.com/rider/jasper-philipsen
402,Jasper Stuyven,Trek - Segafredo,19920417,Belgium,1.8599999999999999,78.0,https://www.procyclingstats.com/rider/jasper-stuyven
403,Javier Moreno,Delko Marseille Provence KTM,19840718,Spain,1.81,63.0,https://www.procyclingstats.com/rider/javier-moreno
404,Jay McCarthy,BORA - hansgrohe,19920908,Australia,1.74,63.0,https://www.procyclingstats.com/rider/jay-mccarthy
405,Jay Robert Thomson,Team Dimension Data,19860412,South Africa,1.85,75.0,https://www.procyclingstats.com/rider/jay-robert-thomson
406,Jean-Pierre Drucker,BMC Racing Team,19860903,Luxembourg,1.82,75.0,https://www.procyclingstats.com/rider/jean-pierre-drucker
407,Jelle Vanendert,Lotto Soudal,19850219,Belgium,1.8399999999999999,62.0,https://www.procyclingstats.com/rider/jelle-vanendert
408,Jelle Wallays,Lotto Soudal,19890511,Belgium,1.85,77.0,https://www.procyclingstats.com/rider/jelle-wallays
409,Jens Debusschere,Lotto Soudal,19890828,Belgium,1.83,78.0,https://www.procyclingstats.com/rider/jens-debusschere
410,Jens Keukeleire,Lotto Soudal,19881123,Belgium,1.85,69.0,https://www.procyclingstats.com/rider/jens-keukeleire
411,Jenthe Biermans,Team Katusha - Alpecin,19951030,Belgium,1.8399999999999999,78.0,https://www.procyclingstats.com/rider/jenthe-biermans
412,Jeremy Cornu,Direct Energie,19910807,France,1.78,66.0,https://www.procyclingstats.com/rider/jeremy-cornu
413,Jérémy Lecroq,Vital Concept Cycling Club,19950407,France,0.0,0.0,https://www.procyclingstats.com/rider/jeremy-lecroq
414,Jeremy Leveau,Delko Marseille Provence KTM,19920417,France,0.0,0.0,https://www.procyclingstats.com/rider/jeremy-leveau
415,Jérémy Maison,Team Fortuneo - Samsic,19930721,France,1.8,61.0,https://www.procyclingstats.com/rider/jeremy-maison
416,Jérémy Roy,Groupama - FDJ,19830622,France,1.8599999999999999,70.0,https://www.procyclingstats.com/rider/jeremy-roy
417,Jeroen Meijers,Roompot - Nederlandse Loterij,19930112,Netherlands,1.81,68.0,https://www.procyclingstats.com/rider/jeroen-meijers
418,Jerome Baugnies,Wanty - Groupe Gobert,19870401,Belgium,1.81,68.0,https://www.procyclingstats.com/rider/jerome-baugnies
419,Jérôme Cousin,Direct Energie,19890605,France,1.8,74.0,https://www.procyclingstats.com/rider/jerome-cousin
420,Jesper Asselman,Roompot - Nederlandse Loterij,19900312,Netherlands,1.8399999999999999,69.0,https://www.procyclingstats.com/rider/jesper-asselman
421,Jesper Hansen,Astana Pro Team,19901023,Denmark,1.76,60.0,https://www.procyclingstats.com/rider/jesper-hansen-1
422,Jesse Anthony,Rally Cycling,19850612,United States,0.0,0.0,https://www.procyclingstats.com/rider/jesse-anthony
423,Jesus Ezquerra,Burgos-BH ,19901130,Spain,1.85,67.0,https://www.procyclingstats.com/rider/jesus-ezquerra-muela
424,Jesús Herrada,"Cofidis, Solutions Crédits",19900726,Spain,1.83,72.0,https://www.procyclingstats.com/rider/jesus-herrada-lopez
425,Jetse Bol,Manzana Postobon,19890908,Netherlands,1.8399999999999999,73.0,https://www.procyclingstats.com/rider/jetse-bol
426,Jhojan Garcia,Manzana Postobon,19980110,Colombia,1.6800000000000002,55.0,https://www.procyclingstats.com/rider/jhojan-garcia
